2022-02-07 22:16:37,032 [simulator_api.py | 76] INFO: Initial position of D_46 is Ghim Moh Market & Food Centre
2022-02-07 22:16:37,032 [simulator_api.py | 76] INFO: Initial position of D_47 is Ghim Moh Market & Food Centre
2022-02-07 22:16:37,032 [simulator_api.py | 76] INFO: Initial position of D_48 is Alexandra Village Food Centre
2022-02-07 22:16:37,032 [simulator_api.py | 76] INFO: Initial position of D_49 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,032 [simulator_api.py | 76] INFO: Initial position of D_50 is Alexandra Village Food Centre
2022-02-07 22:16:37,032 [simulator_api.py | 76] INFO: Initial position of D_51 is Alexandra Village Food Centre
2022-02-07 22:16:37,033 [simulator_api.py | 76] INFO: Initial position of D_52 is Alexandra Village Food Centre
2022-02-07 22:16:37,033 [simulator_api.py | 76] INFO: Initial position of D_53 is Ghim Moh Market & Food Centre
2022-02-07 22:16:37,033 [simulator_api.py | 76] INFO: Initial position of D_54 is Alexandra Village Food Centre
2022-02-07 22:16:37,033 [simulator_api.py | 76] INFO: Initial position of D_55 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,033 [simulator_api.py | 76] INFO: Initial position of D_56 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,033 [simulator_api.py | 76] INFO: Initial position of D_57 is Ghim Moh Market & Food Centre
2022-02-07 22:16:37,034 [simulator_api.py | 76] INFO: Initial position of D_58 is Alexandra Village Food Centre
2022-02-07 22:16:37,034 [simulator_api.py | 76] INFO: Initial position of D_59 is Bukit Timah Market & Food Centre
2022-02-07 22:16:37,034 [simulator_api.py | 76] INFO: Initial position of D_60 is Alexandra Village Food Centre
2022-02-07 22:16:37,068 [simulator_env.py | 87] INFO: **************************************************
2022-02-07 22:16:37,068 [simulator_env.py | 91] INFO: cur time: 2022-02-07 06:10:00, pre time: 2022-02-07 06:00:00
2022-02-07 22:16:37,068 [simulator_env.py | 138] INFO: Start to update the input of 2022-02-07 06:10:00
2022-02-07 22:16:37,071 [simulator_env.py | 166] INFO: Get 5 unallocated orders, 0 ongoing orders, 0 completed orders.
2022-02-07 22:16:38,201 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-07 22:16:38,202 [simulator_env.py | 272] INFO: 2022-02-07 06:10:00, Order 06042300000: state = 1 < 2, we can not finish the simulation
2022-02-07 22:16:38,202 [simulator_env.py | 87] INFO: **************************************************
2022-02-07 22:16:38,202 [simulator_env.py | 91] INFO: cur time: 2022-02-07 06:20:00, pre time: 2022-02-07 06:10:00
2022-02-07 22:16:38,202 [simulator_env.py | 138] INFO: Start to update the input of 2022-02-07 06:20:00
2022-02-07 22:16:38,205 [simulator_env.py | 166] INFO: Get 8 unallocated orders, 4 ongoing orders, 1 completed orders.
2022-02-07 22:16:38,863 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-07 22:16:38,865 [simulator_env.py | 272] INFO: 2022-02-07 06:20:00, Order 06101000005: state = 1 < 2, we can not finish the simulation
2022-02-07 22:16:38,865 [simulator_env.py | 87] INFO: **************************************************
2022-02-07 22:16:38,865 [simulator_env.py | 91] INFO: cur time: 2022-02-07 06:30:00, pre time: 2022-02-07 06:20:00
2022-02-07 22:16:38,866 [simulator_env.py | 138] INFO: Start to update the input of 2022-02-07 06:30:00
2022-02-07 22:16:38,870 [simulator_env.py | 166] INFO: Get 10 unallocated orders, 2 ongoing orders, 9 completed orders.
2022-02-07 22:16:39,533 [simulator_env.py | 100] INFO: Finish the dispatch.
2022-02-07 22:16:39,534 [simulator_env.py | 272] INFO: 2022-02-07 06:30:00, Order 06101000005: state = 1 < 2, we can not finish the simulation
2022-02-07 22:16:39,534 [simulator_env.py | 87] INFO: **************************************************
2022-02-07 22:16:39,534 [simulator_env.py | 91] INFO: cur time: 2022-02-07 06:40:00, pre time: 2022-02-07 06:30:00
2022-02-07 22:16:39,534 [simulator_env.py | 138] INFO: Start to update the input of 2022-02-07 06:40:00
2022-02-07 22:16:39,539 [simulator_env.py | 166] INFO: Get 4 unallocated orders, 4 ongoing orders, 14 completed orders.
2022-02-07 22:16:40,091 [simulator_env.py | 261] ERROR: 2022-02-07 22:16:40,029 [main_algorithm.py | 13] ERROR: Failed to run algorithm
2022-02-07 22:16:40,030 [main_algorithm.py | 14] ERROR: Error: list index out of range, Traceback (most recent call last):
  File "main_algorithm.py", line 10, in <module>
    scheduling()
  File "/Users/yangjingfeng/Library/CloudStorage/OneDrive-Personal/Public/PhD Study/Papers/Food_Delivery/Code/Food_delivery_simulator/Algorithm/algorithm_demo.py", line 565, in scheduling
    id_to_restaurant,
  File "/Users/yangjingfeng/Library/CloudStorage/OneDrive-Personal/Public/PhD Study/Papers/Food_Delivery/Code/Food_delivery_simulator/Algorithm/algorithm_demo.py", line 336, in dispatch_orders_to_drivers
    destination = origin_planned_route[1]
IndexError: list index out of range

FAIL

2022-02-07 22:16:40,092 [simulator_env.py | 262] ERROR: Can not catch the 'SUCCESS' from the algorithm.
