2022-02-16 21:10:59,657 [main.py         | 38] INFO: Start to run /Users/yangjingfeng/Library/CloudStorage/OneDrive-Personal/Public/PhD Study/Papers/Food_Delivery/Code/Food_delivery_simulator/Benchmark/Instance_small: instance_56
2022-02-16 21:11:00,326 [simulator_api.py | 75] INFO: Initial position of D_52 is Alexandra Village Food Centre
2022-02-16 21:11:00,327 [simulator_api.py | 75] INFO: Initial position of D_53 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,327 [simulator_api.py | 75] INFO: Initial position of D_54 is Alexandra Village Food Centre
2022-02-16 21:11:00,327 [simulator_api.py | 75] INFO: Initial position of D_55 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,327 [simulator_api.py | 75] INFO: Initial position of D_56 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,327 [simulator_api.py | 75] INFO: Initial position of D_57 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,327 [simulator_api.py | 75] INFO: Initial position of D_58 is Alexandra Village Food Centre
2022-02-16 21:11:00,327 [simulator_api.py | 75] INFO: Initial position of D_59 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,328 [simulator_api.py | 75] INFO: Initial position of D_60 is Alexandra Village Food Centre
2022-02-16 21:11:00,328 [simulator_api.py | 75] INFO: Initial position of D_61 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,328 [simulator_api.py | 75] INFO: Initial position of D_62 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,328 [simulator_api.py | 75] INFO: Initial position of D_63 is Alexandra Village Food Centre
2022-02-16 21:11:00,328 [simulator_api.py | 75] INFO: Initial position of D_64 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,328 [simulator_api.py | 75] INFO: Initial position of D_65 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,328 [simulator_api.py | 75] INFO: Initial position of D_66 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,328 [simulator_api.py | 75] INFO: Initial position of D_67 is Alexandra Village Food Centre
2022-02-16 21:11:00,328 [simulator_api.py | 75] INFO: Initial position of D_68 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,328 [simulator_api.py | 75] INFO: Initial position of D_69 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,329 [simulator_api.py | 75] INFO: Initial position of D_70 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,329 [simulator_api.py | 75] INFO: Initial position of D_71 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,329 [simulator_api.py | 75] INFO: Initial position of D_72 is Alexandra Village Food Centre
2022-02-16 21:11:00,329 [simulator_api.py | 75] INFO: Initial position of D_73 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,329 [simulator_api.py | 75] INFO: Initial position of D_74 is Ghim Moh Market & Food Centre
2022-02-16 21:11:00,329 [simulator_api.py | 75] INFO: Initial position of D_75 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,329 [simulator_api.py | 75] INFO: Initial position of D_76 is Alexandra Village Food Centre
2022-02-16 21:11:00,329 [simulator_api.py | 75] INFO: Initial position of D_77 is Bukit Timah Market & Food Centre
2022-02-16 21:11:00,330 [simulator_api.py | 75] INFO: Initial position of D_78 is Alexandra Village Food Centre
2022-02-16 21:11:00,330 [simulator_api.py | 75] INFO: Initial position of D_79 is Ghim Moh Market & Food Centre
